504	505	472	472	0.125	0.125
473	506	478	476	0.166667	0.166667
504	507	509	509	0.125	0.125
509	510	504	504	0.125	0.125
509	512	658	658	0.125	0.125
478	514	473	473	0.0833333	0.0833333
506	514	473	473	0.0833333	0.0833333
478	515	479	479	0.125	0.125
506	516	508	508	0.125	0.125
479	518	478	478	0.125	0.125
479	519	482	482	0.125	0.125
508	522	506	506	0.125	0.125
508	524	511	511	0.125	0.125
482	530	479	479	0.125	0.125
482	531	483	483	0.125	0.125
483	534	482	482	0.125	0.125
483	535	488	488	0.125	0.125
511	546	508	508	0.125	0.125
511	548	513	513	0.125	0.125
513	554	511	511	0.125	0.125
513	556	660	660	0.125	0.125
488	578	483	483	0.125	0.125
488	579	489	489	0.125	0.125
489	582	488	488	0.125	0.125
489	583	492	492	0.125	0.125
492	594	489	489	0.125	0.125
492	595	493	493	0.125	0.125
493	598	492	492	0.125	0.125
493	599	496	496	0.0833333	0.0833333
642	599	496	496	0.0833333	0.0833333
642	601	644	644	0.125	0.125
644	607	642	642	0.125	0.125
644	609	647	647	0.125	0.125
647	631	644	644	0.125	0.125
647	633	649	649	0.125	0.125
649	639	647	647	0.125	0.125
649	641	796	796	0.125	0.125
652	646	498	498	0.125	0.125
652	651	806	806	0.125	0.125
496	642	491	493	0.166667	0.166667
496	643	497	497	0.125	0.125
646	643	497	497	0.125	0.125
646	645	651	651	0.125	0.125
651	648	646	646	0.125	0.125
651	650	800	800	0.125	0.125
657	658	503	503	0.125	0.125
657	663	811	811	0.125	0.125
658	659	509	509	0.125	0.125
658	661	663	663	0.125	0.125
663	664	658	658	0.125	0.125
813	666	812	812	0.125	0.125
663	666	812	812	0.125	0.125
813	667	818	816	0.166667	0.166667
660	668	513	513	0.125	0.125
660	670	662	662	0.125	0.125
662	676	660	660	0.125	0.125
662	678	665	665	0.125	0.125
665	700	662	662	0.125	0.125
665	702	667	667	0.125	0.125
667	708	665	665	0.125	0.125
816	710	813	813	0.0833333	0.0833333
667	710	813	813	0.0833333	0.0833333
816	711	817	817	0.125	0.125
817	714	816	816	0.125	0.125
817	715	820	820	0.125	0.125
820	726	817	817	0.125	0.125
820	727	821	821	0.125	0.125
821	730	820	820	0.125	0.125
821	731	826	826	0.125	0.125
796	753	649	649	0.125	0.125
796	755	798	798	0.125	0.125
798	761	796	796	0.125	0.125
798	763	801	801	0.125	0.125
826	774	821	821	0.125	0.125
826	775	827	827	0.125	0.125
827	778	826	826	0.125	0.125
827	779	830	830	0.125	0.125
801	785	798	798	0.125	0.125
801	787	803	803	0.125	0.125
830	790	827	827	0.125	0.125
830	791	831	831	0.125	0.125
803	793	801	801	0.125	0.125
831	794	830	830	0.125	0.125
803	795	836	836	0.0833333	0.0833333
831	795	836	836	0.0833333	0.0833333
806	800	652	652	0.125	0.125
806	805	840	840	0.125	0.125
800	797	651	651	0.125	0.125
800	799	805	805	0.125	0.125
805	802	800	800	0.125	0.125
836	803	831	833	0.166667	0.166667
805	804	837	837	0.125	0.125
836	804	837	837	0.125	0.125
811	812	657	657	0.125	0.125
846	814	845	845	0.125	0.125
811	814	845	845	0.125	0.125
846	815	847	847	0.125	0.125
847	824	846	846	0.125	0.125
847	825	848	848	0.125	0.125
813	816	667	666	0.166667	0.166667
824	818	815	815	0.125	0.125
813	818	815	815	0.125	0.125
824	819	825	825	0.125	0.125
825	822	824	824	0.125	0.125
825	823	834	834	0.125	0.125
848	834	847	847	0.125	0.125
848	835	849	849	0.125	0.125
834	828	825	825	0.125	0.125
834	829	835	835	0.125	0.125
836	831	804	803	0.166667	0.166667
835	832	834	834	0.125	0.125
836	833	838	838	0.125	0.125
835	833	838	838	0.125	0.125
840	837	806	806	0.125	0.125
849	838	848	848	0.125	0.125
840	839	850	850	0.125	0.125
849	839	850	850	0.125	0.125
896	906	895	895	0.125	0.125
905	906	895	895	0.125	0.125
896	907	897	897	0.125	0.125
905	908	939	939	0.125	0.125
897	910	896	896	0.125	0.125
897	911	898	898	0.125	0.125
910	912	907	907	0.125	0.125
909	912	907	907	0.125	0.125
910	913	911	911	0.125	0.125
909	914	941	942	0.166667	0.166667
911	916	910	910	0.125	0.125
911	917	920	920	0.125	0.125
898	920	897	897	0.125	0.125
898	921	899	899	0.125	0.125
920	922	911	911	0.125	0.125
920	923	921	921	0.125	0.125
921	926	920	920	0.125	0.125
921	927	930	930	0.125	0.125
932	927	930	930	0.125	0.125
932	929	1078	1079	0.166667	0.166667
899	930	898	898	0.125	0.125
899	931	900	900	0.125	0.125
934	931	900	900	0.125	0.125
934	933	1088	1088	0.125	0.125
939	940	905	905	0.125	0.125
939	945	1093	1093	0.125	0.125
909	941	908	908	0.125	0.125
940	941	908	908	0.125	0.125
909	942	914	912	0.166667	0.166667
940	943	945	945	0.125	0.125
945	946	940	940	0.125	0.125
945	948	1094	1094	0.125	0.125
914	950	909	909	0.0833333	0.0833333
942	950	909	909	0.0833333	0.0833333
914	951	915	915	0.125	0.125
942	952	944	944	0.125	0.125
915	954	914	914	0.125	0.125
915	955	918	918	0.125	0.125
944	958	942	942	0.125	0.125
944	960	947	947	0.125	0.125
918	966	915	915	0.125	0.125
918	967	919	919	0.125	0.125
919	970	918	918	0.125	0.125
919	971	924	924	0.125	0.125
947	982	944	944	0.125	0.125
947	984	949	949	0.125	0.125
949	990	947	947	0.125	0.125
949	992	1096	1096	0.125	0.125
924	1014	919	919	0.125	0.125
924	1015	925	925	0.125	0.125
925	1018	924	924	0.125	0.125
925	1019	928	928	0.125	0.125
928	1030	925	925	0.125	0.125
928	1031	929	929	0.125	0.125
929	1034	928	928	0.125	0.125
929	1035	932	932	0.0833333	0.0833333
1078	1035	932	932	0.0833333	0.0833333
1078	1037	1080	1080	0.125	0.125
